(1, 39.723)
(2, 21.414)
(3, -48.503)
(4, -31.652)
(5, -0.587)
(6, 8.064)
(7, 47.688)
(8, 23.733)
(9, -30.721)
(10, -30.752)
(11, 35.171)
(12, -28.193)
(13, -21.397)
(14, 43.638)
(15, -17.563)
(16, -48.616)
(17, 24.01)
(18, -26.244)
(19, -11.68)
(20, -47.395)
(21, 44.091)
(22, -15.735)
(23, 29.598)
(24, -22.64)
(25, 49.54)
(26, -12.194)
(27, 30.771)
(28, 9.758)
(29, 33.722)
(30, -15.253)
(31, -0.867)
(32, -40.578)
(33, -5.801)
(34, 36.177)
(35, -3.082)
(36, -12.256)
(37, -31.507)
(38, 15.443)
(39, 11.046)
(40, -13.697)
(41, 16.44)
(42, -8.298)
(43, 37.777)
(44, 20.36)
(45, 27.037)
(46, 5.3)
(47, 43.269)
(48, -10.185)
(49, -15.933)
(50, 38.207)
(51, 11.243)
(52, -30.79)
(53, -24.055)
(54, 20.882)
(55, 40.913)
(56, 25.596)
(57, -21.519)
(58, 7.989)
(59, 17.008)
(60, 34.922)
(61, 43.963)
(62, 23.493)
(63, -38.864)
(64, -17.674)
(65, 48.015)
(66, 25.108)
(67, 3.53)
(68, -20.736)
(69, -24.653)
(70, -41.014)
(71, 29.433)
(72, -18.253)
(73, 30.91)
(74, 1.008)
(75, -0.83)
(76, 42.077)
(77, 5.874)
(78, 5.386)
(79, 36.77)
(80, -35.239)
(81, 43.5)
(82, 14.448)
(83, -34.579)
(84, -43.093)
(85, 49.12)
(86, 27.229)
(87, 45.656)
(88, -45.907)
(89, 0.347)
(90, 4.94)
(91, -11.359)
(92, 18.784)
(93, 40.654)
(94, 22.121)
(95, 23.197)
(96, -38.286)
(97, -40.083)
(98, 21.479)
(99, -35.327)
(100, -43.289)
(101, 5.147)
(102, -43.705)
(103, 7.938)
(104, 34.766)
(105, -17.289)
(106, -12.205)
(107, 9.881)
(108, -32.866)
(109, 17.406)
(110, -27.335)
(111, 45.58)
(112, 14.586)
(113, -12.348)
(114, 23.89)
(115, 12.787)
(116, -19.977)
(117, 49.091)
(118, -21.539)
(119, -42.096)
(120, -6.143)
(121, -45.904)
(122, -41.296)
(123, 9.441)
(124, 35.959)
(125, -2.884)
(126, 20.367)
(127, -37.226)
(128, -41.998)
(129, -15.312)
(130, 4.251)
(131, -35.534)
(132, -1.568)
(133, -44.377)
(134, -27.758)
(135, -4.771)
(136, 18.915)
(137, -16.926)
(138, -38.215)
(139, 3.692)
(140, -42.68)
(141, -7.526)
(142, 5.86)
(143, -3.68)
(144, 6.216)
(145, -37.34)
(146, 4.237)
(147, -43.85)
(148, 44.688)
(149, 13.106)
(150, 9.549)
(151, -20.196)
(152, -40.333)
(153, 23.968)
(154, -21.549)
(155, 4.113)
(156, -46.99)
(157, -3.296)
(158, 2.571)
(159, -22.297)
(160, -23.921)
(161, 15.647)
(162, 30.259)
(163, 27.512)
(164, -39.072)
(165, -25.438)
(166, -37.474)
(167, 20.316)
(168, -16.363)
(169, 16.208)
(170, 46.123)
(171, -22.602)
(172, 10.865)
(173, -7.503)
(174, -28.424)
(175, -41.904)
(176, 35.45)
(177, 38.844)
(178, 42.433)
(179, -38.734)
(180, -23.375)
(181, -45.145)
(182, 29.228)
(183, -9.292)
(184, 35.709)
(185, 31.548)
(186, -27.84)
(187, 20.029)
(188, -41.066)
(189, 33.816)
(190, -44.671)
(191, 37.358)
(192, -48.288)
(193, 5.053)
(194, -42.182)
(195, -15.115)
(196, 45.139)
(197, -49.504)
(198, 14.944)
(199, -39.399)
(200, 3.748)
(201, 8.137)
(202, -41.555)
(203, -41.675)
(204, -4.808)
(205, 7.117)
(206, 10.05)
(207, 6.922)
(208, 46.328)
(209, -46.853)
(210, -41.479)
(211, 35.508)
(212, -33.546)
(213, -16.153)
(214, -18.202)
(215, -31.172)
(216, 3.535)
(217, 13.052)
(218, -49.979)
(219, -25.428)
(220, 19.95)
(221, 1.8)
(222, 14.663)
(223, -37.137)
(224, -39.447)
(225, 11.543)
(226, 12.785)
(227, -28.567)
(228, -29.759)
(229, 27.775)
(230, -11.766)
(231, -18.77)
(232, -25.13)
(233, 34.247)
(234, -24.952)
(235, -22.207)
(236, 47.235)
(237, -32.941)
(238, 26.375)
(239, 35.474)
(240, -42.078)
(241, 6.632)
(242, 4.827)
(243, 36.373)
(244, -19.901)
(245, -10.998)
(246, -42.408)
(247, 23.958)
(248, 24.906)
(249, -33.153)
(250, 23.808)
(251, 39.221)
(252, -34.671)
(253, 32.074)
(254, 12.644)
(255, 25.094)
(256, -31.244)
(257, 18.022)
(258, -35.703)
(259, 13.479)
(260, 20.233)
(261, -3.765)
(262, 10.218)
(263, -25.673)
(264, 33.619)
(265, 14.538)
(266, 36.87)
(267, -7.368)
(268, -15.544)
(269, -46.148)
(270, 21.492)
(271, 49.631)
(272, 41.107)
(273, 35.029)
(274, 3.598)
(275, -33.6)
(276, -1.816)
(277, 35.595)
(278, 28.125)
(279, -42.119)
(280, 27.321)
(281, 2.817)
(282, 7.347)
(283, 47.803)
(284, -24.771)
(285, -43.25)
(286, -7.722)
(287, -28.376)
(288, 31.138)
(289, 28.91)
(290, -0.032)
(291, 38.194)
(292, 40.054)
(293, 12.48)
(294, -7.861)
(295, -11.315)
(296, -0.254)
(297, 22.406)
(298, 31.724)
(299, 33.01)
(300, -0.067)
(301, 38.483)
(302, -32.809)
(303, 42.79)
(304, -39.789)
(305, 45.173)
(306, 46.744)
(307, -33.699)
(308, -0.808)
(309, 39.861)
(310, -43.26)
(311, 43.518)
(312, 9.33)
(313, -7.35)
(314, 8.904)
(315, 49.58)
(316, -4.461)
(317, 2.113)
(318, -1.049)
(319, -30.971)
(320, -37.139)
(321, 25.974)
(322, -48.2)
(323, 11.176)
(324, 46.686)
(325, -33.327)
(326, 39.193)
(327, -46.739)
(328, 46.917)
(329, -2.408)
(330, -32.392)
(331, 18.165)
(332, 1.709)
(333, 41.685)
