A	0	16
A	1	20
D	1	80
p	1	13
x	1	3
y	1	4
z	1	7
E	1	30
A	2	23
D	2	81
p	2	11
x	2	1
y	2	2
z	2	8
E	2	31
A	3	26
B	3	18
D	3	82
p	3	12
x	3	6
y	3	5
z	3	9
E	3	32
A	4	17
B	4	22
D	4	83
p	4	14
z	4	10
E	4	33
A	5	21
B	5	25
C	5	19
D	5	84
p	5	15
E	5	34
A	6	24
D	6	85
E	6	35
A	7	27
D	7	86
E	7	36
A	8	28
D	8	87
E	8	37
A	9	29
E	9	38
A	10	30
E	10	39
A	11	31
E	11	40
A	12	32
E	12	41
A	13	33
E	13	42
A	14	34
E	14	43
A	15	35
E	15	44
A	16	36
E	16	45
A	17	37
E	17	46
A	18	38
E	18	47
A	19	39
E	19	48
A	20	40
E	20	49
A	21	41
E	21	50
A	22	42
E	22	51
A	23	43
E	23	52
A	24	44
E	24	53
A	25	45
E	25	54
A	26	46
E	26	55
A	27	47
E	27	56
A	28	48
E	28	57
A	29	49
E	29	58
A	30	50
E	30	59
A	31	51
E	31	60
A	32	52
E	32	61
A	33	53
E	33	62
A	34	54
E	34	63
A	35	55
E	35	64
A	36	56
E	36	65
A	37	57
E	37	66
A	38	58
E	38	67
A	39	59
E	39	68
A	40	60
E	40	69
A	41	61
E	41	70
A	42	62
E	42	71
A	43	63
E	43	72
A	44	64
E	44	73
A	45	65
E	45	74
A	46	66
E	46	75
A	47	67
E	47	76
A	48	68
E	48	77
A	49	69
E	49	78
A	50	70
E	50	79
A	51	71
E	51	80
A	52	72
E	52	81
A	53	73
E	53	82
A	54	74
E	54	83
A	55	75
E	55	84
A	56	76
E	56	85
A	57	77
E	57	86
A	58	78
E	58	87
A	59	79
E	59	88
A	60	80
E	60	89
A	61	81
E	61	90
A	62	82
E	62	91
A	63	83
E	63	92
A	64	84
E	64	93
A	65	85
E	65	94
A	66	86
E	66	95
A	67	87
E	67	96
A	68	88
E	68	97
A	69	89
E	69	98
A	70	90
E	70	99
A	71	91
E	71	100
A	72	92
E	72	101
A	73	93
E	73	102
A	74	94
E	74	103
A	75	95
E	75	104
A	76	96
E	76	105
A	77	97
E	77	106
A	78	98
E	78	107
A	79	99
E	79	108
A	80	100
E	80	109
A	81	101
E	81	110
A	82	102
E	82	111
A	83	103
E	83	112
A	84	104
E	84	113
A	85	105
E	85	114
A	86	106
E	86	115
A	87	107
E	87	116
A	88	108
E	88	117
A	89	109
E	89	118
A	90	110
E	90	119
A	91	111
E	91	120
A	92	112
E	92	121
A	93	113
E	93	122
A	94	114
E	94	123
A	95	115
E	95	124
A	96	116
E	96	125
A	97	117
E	97	126
A	98	118
E	98	127
A	99	119
E	99	128
A	100	120
E	100	129
A	101	121
E	101	130
A	102	122
E	102	131
